rel_path,ext,doi,isbn,converted_md,ocr_text
Review/Unreadable/2018 - thesis_or_dissertation_2.pdf - 2018 - thesis_or_dissertation_2.pdf.pdf - 2018 - thesis_or_dissertation_2.pdf - 2018 - thesis_or_dissertation_2.pdf.pdf.pdf,.pdf,10.1177/0008429817710971,,converted_ocr/Review/Unreadable/2018 - thesis_or_dissertation_2.pdf - 2018 - thesis_or_dissertation_2.pdf.pdf - 2018 - thesis_or_dissertation_2.pdf - 20__3d8e21769a06.md,
Review/Unreadable/2018 - thesis_or_dissertation_3.pdf - 2018 - thesis_or_dissertation_3.pdf.pdf - 2018 - thesis_or_dissertation_3.pdf - 2018 - thesis_or_dissertation_3.pdf.pdf.pdf,.pdf,10.1558/pome.v15i12.1,,converted_ocr/Review/Unreadable/2018 - thesis_or_dissertation_3.pdf - 2018 - thesis_or_dissertation_3.pdf.pdf - 2018 - thesis_or_dissertation_3.pdf - 20__ec8ac654ceb3.md,
Review/Unreadable/2019 - book_or_monograph.pdf - 2019 - book_or_monograph.pdf.pdf - 2019 - book_or_monograph.pdf - 2019 - book_or_monograph.pdf.pdf.pdf,.pdf,,9781478005858;9781478006510;9781478007227,converted_ocr/Review/Unreadable/2019 - book_or_monograph.pdf - 2019 - book_or_monograph.pdf.pdf - 2019 - book_or_monograph.pdf - 2019 - book_or_monograph.pdf.pdf.pdf.md,
"Review/Unreadable/2019 - ILCEA, 31 2018.pdf - 2019 - ILCEA, 31 2018.pdf.pdf - 2019 - ILCEA, 31 2018.pdf - 2019 - ILCEA, 31 2018.pdf.pdf.pdf",.pdf,10.4000/ilcea.4677,,"converted_ocr/Review/Unreadable/2019 - ILCEA, 31 2018.pdf - 2019 - ILCEA, 31 2018.pdf.pdf - 2019 - ILCEA, 31 2018.pdf - 2019 - ILCEA, 31 2018.pdf.pdf.pdf.md",
Review/Unreadable/2019 - journal_article.pdf - 2019 - journal_article.pdf.pdf - 2019 - journal_article.pdf - 2019 - journal_article.pdf.pdf.pdf,.pdf,10.1080/1369118X.2019.1609544,9781526436917;9781526436924,converted_ocr/Review/Unreadable/2019 - journal_article.pdf - 2019 - journal_article.pdf.pdf - 2019 - journal_article.pdf - 2019 - journal_article.pdf.pdf.pdf.md,
"Review/Unreadable/2019 - Martin Lepage - Bibliographie, bourses postdoctorales CRSH 2018 - 2019 - Martin Lepage - Bibliographie, bourses postdoctorales CRSH 2018-2019 LEPAGE, MARTIN # 223356.pdf - 2019 - Martin Lepage - Bibliog.pdf",.pdf,10.1177/0008429817710971;10.1558/pome.v12i2.159;10.1558/pome.v15i1-2.79;10.4000/gss.1722;10.4000/gss.1849,,"converted_ocr/Review/Unreadable/2019 - Martin Lepage - Bibliographie, bourses postdoctorales CRSH 2018 - 2019 - Martin Lepage - Bibliographie, bourses p__e217a02256ee.md",
Review/Unreadable/2019 - Martin Lepage - TITLE of Research Project.docx - 2019 - Martin - 2019 - Martin Lepage - TITLE of Research Project.docx - 2019 - Martin Lepage - TITLE of Research Project.docx.docx.docx,.docx,10.1016/S2352-3018;10.1016/S2352-3018(22)00124-2;10.1016/j.drugpo.2016.10.007;10.1016/j.drugpo.2018.11.014;10.1108/DAT-10-2018-0058;10.1177/1049732309333018;10.1177/1363460720986922;10.1177/1363460721995467;10.22514/jomh.2022.003;10.7202/1062117ar,,converted_ocr/Review/Unreadable/2019 - Martin Lepage - TITLE of Research Project.docx - 2019 - Martin - 2019 - Martin Lepage - TITLE of Research Project__92eae3b7bde5.md,
"Review/Unreadable/2019 - Methodos, 2 2002.pdf - 2019 - Methodos, 2 2002.pdf.pdf - 2019 - Methodos, 2 2002.pdf - 2019 - Methodos, 2 2002.pdf.pdf.pdf",.pdf,10.4000/methodos.90,,"converted_ocr/Review/Unreadable/2019 - Methodos, 2 2002.pdf - 2019 - Methodos, 2 2002.pdf.pdf - 2019 - Methodos, 2 2002.pdf - 2019 - Methodos, 2 2002.pdf.pdf.pdf.md",
Review/Unreadable/2019 - Traditions and Trajectories in the Historiography of European W - 2019 - Traditions and Trajectories in the Historiography of European Witch Hunting.pdf - 2019 - Traditions and Trajectories in the Histo.pdf,.pdf,10.1111/j.1478-0542.2006.00310.x,,converted_ocr/Review/Unreadable/2019 - Traditions and Trajectories in the Historiography of European W - 2019 - Traditions and Trajectories in the Histo__1f6d3cbb7bf2.md,
Review/Unreadable/2020 - book_or_monograph_1.pdf - 2020 - book_or_monograph_1.pdf.pdf - 2020 - book_or_monograph_1.pdf - 2020 - book_or_monograph_1.pdf.pdf.pdf,.pdf,,9781524762940,converted_ocr/Review/Unreadable/2020 - book_or_monograph_1.pdf - 2020 - book_or_monograph_1.pdf.pdf - 2020 - book_or_monograph_1.pdf - 2020 - book_or_monograph_1.pdf.pdf.pdf.md,
Review/Unreadable/2020 - journal_article.pdf - 2020 - journal_article.pdf.pdf - 2020 - journal_article.pdf - 2020 - journal_article.pdf.pdf.pdf,.pdf,10.4102/td.v16i1.758,,converted_ocr/Review/Unreadable/2020 - journal_article.pdf - 2020 - journal_article.pdf.pdf - 2020 - journal_article.pdf - 2020 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2020 - journal_article_1.pdf - 2020 - journal_article_1.pdf.pdf - 2020 - journal_article_1.pdf - 2020 - journal_article_1.pdf.pdf.pdf,.pdf,10.4000/gss.6006,,converted_ocr/Review/Unreadable/2020 - journal_article_1.pdf - 2020 - journal_article_1.pdf.pdf - 2020 - journal_article_1.pdf - 2020 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2021 - journal_article.pdf - 2021 - journal_article.pdf.pdf - 2021 - journal_article.pdf - 2021 - journal_article.pdf.pdf.pdf,.pdf,10.3390/rel12020087,,converted_ocr/Review/Unreadable/2021 - journal_article.pdf - 2021 - journal_article.pdf.pdf - 2021 - journal_article.pdf - 2021 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2021 - Spiritual Activism in Swit.pdf - 2021 - Spiritual Activism in Swit.pdf.pdf - 2021 - Spiritual Activism in Swit.pdf - 2021 - Spiritual Activism in Swit.pdf.pdf.pdf,.pdf,10.3390/rel13010023,,converted_ocr/Review/Unreadable/2021 - Spiritual Activism in Swit.pdf - 2021 - Spiritual Activism in Swit.pdf.pdf - 2021 - Spiritual Activism in Swit.pd__3cb2da697beb.md,
Review/Unreadable/2022 - report.pdf - 2022 - report.pdf.pdf - 2022 - report.pdf - 2022 - report.pdf.pdf.pdf,.pdf,10.1145/3313831.3376727,,converted_ocr/Review/Unreadable/2022 - report.pdf - 2022 - report.pdf.pdf - 2022 - report.pdf - 2022 - report.pdf.pdf.pdf.md,
Review/Unreadable/2023 - book_or_monograph.pdf - 2023 - book_or_monograph.pdf.pdf - 2023 - book_or_monograph.pdf - 2023 - book_or_monograph.pdf.pdf.pdf,.pdf,,9780190923624;9780190923631,converted_ocr/Review/Unreadable/2023 - book_or_monograph.pdf - 2023 - book_or_monograph.pdf.pdf - 2023 - book_or_monograph.pdf - 2023 - book_or_monograph.pdf.pdf.pdf.md,
Review/Unreadable/2023 - journal_article.pdf - 2023 - journal_article.pdf.pdf - 2023 - journal_article.pdf - 2023 - journal_article.pdf.pdf.pdf,.pdf,10.6028/NIST.AI.100-1,,converted_ocr/Review/Unreadable/2023 - journal_article.pdf - 2023 - journal_article.pdf.pdf - 2023 - journal_article.pdf - 2023 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2023 - journal_article_1.pdf - 2023 - journal_article_1.pdf.pdf - 2023 - journal_article_1.pdf - 2023 - journal_article_1.pdf.pdf.pdf,.pdf,10.1177/27536386231177348,,converted_ocr/Review/Unreadable/2023 - journal_article_1.pdf - 2023 - journal_article_1.pdf.pdf - 2023 - journal_article_1.pdf - 2023 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2024 - 0463.pdf - 2024 - 0463.pdf.pdf - 2024 - 0463.pdf - 2024 - 0463.pdf.pdf.pdf,.pdf,10.5281/zenodo.10936348,,converted_ocr/Review/Unreadable/2024 - 0463.pdf - 2024 - 0463.pdf.pdf - 2024 - 0463.pdf - 2024 - 0463.pdf.pdf.pdf.md,
Review/Unreadable/2024 - 2024.pdf - 2024 - 2024.pdf.pdf - 2024 - 2024.pdf - 2024 - 2024.pdf.pdf.pdf,.pdf,10.1177/0037768607086498;10.1177/0037768617704165;10.1177/0037768618768439;10.1177/00377686231217194,,converted_ocr/Review/Unreadable/2024 - 2024.pdf - 2024 - 2024.pdf.pdf - 2024 - 2024.pdf - 2024 - 2024.pdf.pdf.pdf.md,
Review/Unreadable/2024 - journal_article [2].pdf - 2024 - journal_article [2].pdf.pdf - 2024 - journal_article [2].pdf - 2024 - journal_article [2].pdf.pdf.pdf,.pdf,10.1111/bld.12413;10.17645/si.v11i1.5642,,converted_ocr/Review/Unreadable/2024 - journal_article [2].pdf - 2024 - journal_article [2].pdf.pdf - 2024 - journal_article [2].pdf - 2024 - journal_article [2].pdf.pdf.pdf.md,
Review/Unreadable/2024 - journal_article_1.pdf - 2024 - journal_article_1.pdf.pdf - 2024 - journal_article_1.pdf - 2024 - journal_article_1.pdf.pdf.pdf,.pdf,10.1007/s10461-02304263-1;10.1007/s10508-012-0009-5;10.1007/s10508-014-0279-1;10.1007/s11606-015-3333-3;10.1007/s11930-017-0108-3;10.1007/s11934-020-01030-w;10.1007/s12119-021-09876-z;10.1016/S23523018(20)30197-1;10.1016/j.drugpo.2018;10.1016/j.jsxm.2018.03.086;10.1016/j.jsxm.2019.02.014;10.1016/j.sxmr.2021.01.002;10.1017/S071498081900062X;10.1037/a0012955;10.1071/SH25150;10.1071/SH25150/1716593/sh25150.pdf;10.1080/00224499.2017.1410519;10.1080/00224499.2019.1689379;10.1080/0092623X.2015.1113597;10.1080/0092623X.2016.1263703,9780195377903,converted_ocr/Review/Unreadable/2024 - journal_article_1.pdf - 2024 - journal_article_1.pdf.pdf - 2024 - journal_article_1.pdf - 2024 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2024 - journal_article_2.pdf - 2024 - journal_article_2.pdf.pdf - 2024 - journal_article_2.pdf - 2024 - journal_article_2.pdf.pdf.pdf,.pdf,10.3390/sexes5040032,,converted_ocr/Review/Unreadable/2024 - journal_article_2.pdf - 2024 - journal_article_2.pdf.pdf - 2024 - journal_article_2.pdf - 2024 - journal_article_2.pdf.pdf.pdf.md,
Review/Unreadable/2024 - report.pdf - 2024 - report.pdf.pdf - 2024 - report.pdf - 2024 - report.pdf.pdf.pdf,.pdf,,9780190915988;9780190916008;9780190916015;9780197769638,converted_ocr/Review/Unreadable/2024 - report.pdf - 2024 - report.pdf.pdf - 2024 - report.pdf - 2024 - report.pdf.pdf.pdf.md,
Review/Unreadable/2025 - book_or_monograph_1.docx - 2025 - book_or_monograph_1.docx.docx - 2025 - book_or_monograph_1.docx - 2025 - book_or_monograph_1.docx.docx.docx,.docx,,9798273810013,converted_ocr/Review/Unreadable/2025 - book_or_monograph_1.docx - 2025 - book_or_monograph_1.docx.docx - 2025 - book_or_monograph_1.docx - 2025 - book_or_monograph_1.docx.docx.docx.md,
"Review/Unreadable/2025 - https lthj.qut.edu.au LAW, TECHNOLOGY AND HUMANS.pdf - 2025 - h - 2025 - https lthj.qut.edu.au LAW, TECHNOLOGY AND HUMANS.pdf - 2025 - https lthj.qut.edu.au LAW, TECHNOLOGY AND HUMANS.pdf.pdf.pdf",.pdf,10.1007/978-94-6265-523-2_26;10.1007/BF01405730;10.1007/s00146-021-01247-4;10.1007/s10676-006-0008-0;10.1007/s10676-008-9167-5;10.1007/s11023-007-9079-x;10.1007/s44206-02300068-w;10.1016/j.jiixd.2023.10.007;10.1038/s42256-019-0088-2;10.1145/3144592.3144598;10.14763/2023.1.1682;10.2478/jagi-2014-0001;10.2478/jagi-2019-0002;10.2991/978-94-91216-62-6;10.48550/arXiv.2309.10371;10.48550/arXiv.2401.02843;10.5204/lthj.3757;10.54097/81t5jr86;10.55613/jeet.v25i2.48,,"converted_ocr/Review/Unreadable/2025 - https lthj.qut.edu.au LAW, TECHNOLOGY AND HUMANS.pdf - 2025 - h - 2025 - https lthj.qut.edu.au LAW, TECHNOLOGY AN__2e9999d57686.md",
Review/Unreadable/2025 - journal_article_1.pdf - 2025 - journal_article_1.pdf.pdf - 2025 - journal_article_1.pdf - 2025 - journal_article_1.pdf.pdf.pdf,.pdf,10.1038/s41598-025-92190-7,,converted_ocr/Review/Unreadable/2025 - journal_article_1.pdf - 2025 - journal_article_1.pdf.pdf - 2025 - journal_article_1.pdf - 2025 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2025 - Memoire - thesis_or_dissertation.pdf - 2025 - Memoire - thesis_or_dissertation.pdf.pdf - 2025 - Memoire - thesis_or_dissertation.pdf - 2025 - Memoire - thesis_or_dissertation.pdf.pdf.pdf,.pdf,10.1080/07303084.1998.10605572;10.1080/17439760903271116;10.3917/arco.colle.2024.01.0509,,converted_ocr/Review/Unreadable/2025 - Memoire - thesis_or_dissertation.pdf - 2025 - Memoire - thesis_or_dissertation.pdf.pdf - 2025 - Memoire - thesis___6ccec6179790.md,
Review/Unreadable/2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf - 2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf.pdf,.pdf,10.2861/0136788,,converted_ocr/Review/Unreadable/2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf - 2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf.pdf.md,text/Review/Unreadable/2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf - 2025 - ocr_needed_1.pdf - 2025 - ocr_needed_1.pdf.pdf.pdf.ocr.txt
Review/Unreadable/2025 - report_1.docx - 2025 - report_1.docx.docx - 2025 - report_1.docx - 2025 - report_1.docx.docx.docx,.docx,10.1111/jcc4.12013;10.1126/science.aap9559;10.1186/s41118-020-00103-5,9780226682952,converted_ocr/Review/Unreadable/2025 - report_1.docx - 2025 - report_1.docx.docx - 2025 - report_1.docx - 2025 - report_1.docx.docx.docx.md,
Review/Unreadable/2025 - report_2.docx - 2025 - report_2.docx.docx - 2025 - report_2.docx - 2025 - report_2.docx.docx.docx,.docx,10.1177/01461672241267332,,converted_ocr/Review/Unreadable/2025 - report_2.docx - 2025 - report_2.docx.docx - 2025 - report_2.docx - 2025 - report_2.docx.docx.docx.md,
"Review/Unreadable/2025 - Right Populism, and Political.pdf - 2025 - Right Populism, and Political.pdf.pdf - 2025 - Right Populism, and Political.pdf - 2025 - Right Populism, and Political.pdf.pdf.pdf",.pdf,10.1016/j.jce.2012.10.002;10.1057/s41304;10.1177/0951692800012004007;10.1177/2056305119885328;10.17645/pag.9792;10.17645/pag.i425;10.2478/njms,9780190603618,"converted_ocr/Review/Unreadable/2025 - Right Populism, and Political.pdf - 2025 - Right Populism, and Political.pdf.pdf - 2025 - Right Populism, and Pol__7b44e929a83e.md",
Review/Unreadable/2026 - audit_or_assessment_2.docx - 2026 - audit_or_assessment_2.docx.docx - 2026 - audit_or_assessment_2.docx - 2026 - audit_or_assessment_2.docx.docx.docx,.docx,10.1007/s11023-022-09611-z;10.1080/21670811.2014.976411;10.1093/idpl/ipaa020;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1145/3351095.3372873;10.15779/Z38BG31;10.48550/arXiv.1803.09010;10.48550/arXiv.1810.03993,,converted_ocr/Review/Unreadable/2026 - audit_or_assessment_2.docx - 2026 - audit_or_assessment_2.docx.docx - 2026 - audit_or_assessment_2.docx - 2026 - audit_or_assessment_2.docx.docx.docx.md,
Review/Unreadable/2026 - journal_article.pdf - 2026 - journal_article.pdf.pdf - 2026 - journal_article.pdf - 2026 - journal_article.pdf.pdf.pdf,.pdf,10.1038/s41562-021-01236-z;10.1111/1745-9125.12300;10.2307/48738492;10.7758/RSF.2023;10.7758/RSF.2023.9.4.05;10.7758/RSF.2023.9.5.01,,converted_ocr/Review/Unreadable/2026 - journal_article.pdf - 2026 - journal_article.pdf.pdf - 2026 - journal_article.pdf - 2026 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2026 - journal_article_1.pdf - 2026 - journal_article_1.pdf.pdf - 2026 - journal_article_1.pdf - 2026 - journal_article_1.pdf.pdf.pdf,.pdf,10.1037/ppm0000185;10.1097/PHM.0000000000001435,,converted_ocr/Review/Unreadable/2026 - journal_article_1.pdf - 2026 - journal_article_1.pdf.pdf - 2026 - journal_article_1.pdf - 2026 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2026 - policy_or_guidance_1.docx - 2026 - policy_or_guidance_1.docx.docx - 2026 - policy_or_guidance_1.docx - 2026 - policy_or_guidance_1.docx.docx.docx,.docx,10.1145/3287560.3287596,,converted_ocr/Review/Unreadable/2026 - policy_or_guidance_1.docx - 2026 - policy_or_guidance_1.docx.docx - 2026 - policy_or_guidance_1.docx - 2026 - policy_or_guidance_1.docx.docx.docx.md,
Review/Unreadable/2026 - policy_or_guidance_5.docx - 2026 - policy_or_guidance_5.docx.docx - 2026 - policy_or_guidance_5.docx - 2026 - policy_or_guidance_5.docx.docx.docx,.docx,10.1073/pnas.1915768117;10.1093/idpl/ipab005;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1177/2053951715608873;10.2139/ssrn.2736395;10.2139/ssrn.3063289,,converted_ocr/Review/Unreadable/2026 - policy_or_guidance_5.docx - 2026 - policy_or_guidance_5.docx.docx - 2026 - policy_or_guidance_5.docx - 2026 - policy_or_guidance_5.docx.docx.docx.md,
Review/Unreadable/2027 - audit_or_assessment [2].docx - 2027 - audit_or_assessment [2].docx.docx - 2027 - audit_or_assessment [2].docx - 2027 - audit_or_assessment [2].docx.docx.docx,.docx,10.1080/23753234.2022.2086891;10.1186/s12916-018-1089-4;10.1631/FITEE.1700826,,converted_ocr/Review/Unreadable/2027 - audit_or_assessment [2].docx - 2027 - audit_or_assessment [2].docx.docx - 2027 - audit_or_assessment [2].docx - 2__3c9565647205.md,
Review/Unreadable/2027 - audit_or_assessment.docx - 2027 - audit_or_assessment.docx.docx - 2027 - audit_or_assessment.docx - 2027 - audit_or_assessment.docx.docx.docx,.docx,10.1080/23753234.2022.2086891;10.1186/s12916-018-1089-4;10.1631/FITEE.1700826,,converted_ocr/Review/Unreadable/2027 - audit_or_assessment.docx - 2027 - audit_or_assessment.docx.docx - 2027 - audit_or_assessment.docx - 2027 - audit_or_assessment.docx.docx.docx.md,
Review/Unreadable/2027 - policy_or_guidance.pdf - 2027 - policy_or_guidance.pdf.pdf - 2027 - policy_or_guidance.pdf - 2027 - policy_or_guidance.pdf.pdf.pdf,.pdf,10.1080/23753234.2022.2086891;10.1186/s12916-018-1089-4;10.1631/FITEE.1700826,,converted_ocr/Review/Unreadable/2027 - policy_or_guidance.pdf - 2027 - policy_or_guidance.pdf.pdf - 2027 - policy_or_guidance.pdf - 2027 - policy_or_guidance.pdf.pdf.pdf.md,
Review/Unreadable/Review_2008_nicholson_doi 10.1080 15017410701880122.pdf - Review_2008_ - Review_2008_nicholson_doi 10.1080 15017410701880122.pdf - Review_2008_nicholson_doi 10.1080 15017410701880122.pdf.pdf.pdf,.pdf,10.1080/15017410701880122,,converted_ocr/Review/Unreadable/Review_2008_nicholson_doi 10.1080 15017410701880122.pdf - Review_2008_ - Review_2008_nicholson_doi 10.1080 1501741070188__316fb7f40d11.md,
Review/Unreadable/Review_2014_UnknownAuthor_Journal for the Study of Western Esotericism - Review_2014_UnknownAuthor_Journal for the Study of Western Esotericism.pdf - Review_2014_UnknownAuthor_Journal for the Study of Western.pdf,.pdf,10.1163/147783512X614803;10.1163/147783512X614812,,converted_ocr/Review/Unreadable/Review_2014_UnknownAuthor_Journal for the Study of Western Esotericism - Review_2014_UnknownAuthor_Journal for the Study__6a844293fddb.md,
Review/Unreadable/Review_2022_zuboff_The Age of Surveillance Capitalism The Fight for a - Review_2022_zuboff_The Age of Surveillance Capitalism The Fight for a Human Future at the New Frontier of Pow.pdf - Review_2022_zuboff_T.pdf,.pdf,10.1080/23753234.2022.2086891,,converted_ocr/Review/Unreadable/Review_2022_zuboff_The Age of Surveillance Capitalism The Fight for a - Review_2022_zuboff_The Age of Surveillance Capit__f492f6327dd3.md,
